"steps","date","interval","weekday","type"
1,2012-10-01,0,"Monday","weekday"
0,2012-10-01,5,"Monday","weekday"
0,2012-10-01,10,"Monday","weekday"
0,2012-10-01,15,"Monday","weekday"
0,2012-10-01,20,"Monday","weekday"
2,2012-10-01,25,"Monday","weekday"
0,2012-10-01,30,"Monday","weekday"
0,2012-10-01,35,"Monday","weekday"
0,2012-10-01,40,"Monday","weekday"
1,2012-10-01,45,"Monday","weekday"
0,2012-10-01,50,"Monday","weekday"
0,2012-10-01,55,"Monday","weekday"
0,2012-10-01,100,"Monday","weekday"
0,2012-10-01,105,"Monday","weekday"
0,2012-10-01,110,"Monday","weekday"
0,2012-10-01,115,"Monday","weekday"
0,2012-10-01,120,"Monday","weekday"
1,2012-10-01,125,"Monday","weekday"
1,2012-10-01,130,"Monday","weekday"
0,2012-10-01,135,"Monday","weekday"
0,2012-10-01,140,"Monday","weekday"
0,2012-10-01,145,"Monday","weekday"
0,2012-10-01,150,"Monday","weekday"
0,2012-10-01,155,"Monday","weekday"
0,2012-10-01,200,"Monday","weekday"
0,2012-10-01,205,"Monday","weekday"
1,2012-10-01,210,"Monday","weekday"
0,2012-10-01,215,"Monday","weekday"
0,2012-10-01,220,"Monday","weekday"
0,2012-10-01,225,"Monday","weekday"
0,2012-10-01,230,"Monday","weekday"
0,2012-10-01,235,"Monday","weekday"
0,2012-10-01,240,"Monday","weekday"
0,2012-10-01,245,"Monday","weekday"
1,2012-10-01,250,"Monday","weekday"
0,2012-10-01,255,"Monday","weekday"
0,2012-10-01,300,"Monday","weekday"
0,2012-10-01,305,"Monday","weekday"
0,2012-10-01,310,"Monday","weekday"
0,2012-10-01,315,"Monday","weekday"
0,2012-10-01,320,"Monday","weekday"
0,2012-10-01,325,"Monday","weekday"
1,2012-10-01,330,"Monday","weekday"
0,2012-10-01,335,"Monday","weekday"
0,2012-10-01,340,"Monday","weekday"
0,2012-10-01,345,"Monday","weekday"
0,2012-10-01,350,"Monday","weekday"
0,2012-10-01,355,"Monday","weekday"
1,2012-10-01,400,"Monday","weekday"
0,2012-10-01,405,"Monday","weekday"
2,2012-10-01,410,"Monday","weekday"
0,2012-10-01,415,"Monday","weekday"
0,2012-10-01,420,"Monday","weekday"
0,2012-10-01,425,"Monday","weekday"
4,2012-10-01,430,"Monday","weekday"
0,2012-10-01,435,"Monday","weekday"
3,2012-10-01,440,"Monday","weekday"
0,2012-10-01,445,"Monday","weekday"
3,2012-10-01,450,"Monday","weekday"
1,2012-10-01,455,"Monday","weekday"
0,2012-10-01,500,"Monday","weekday"
1,2012-10-01,505,"Monday","weekday"
3,2012-10-01,510,"Monday","weekday"
2,2012-10-01,515,"Monday","weekday"
3,2012-10-01,520,"Monday","weekday"
2,2012-10-01,525,"Monday","weekday"
2,2012-10-01,530,"Monday","weekday"
6,2012-10-01,535,"Monday","weekday"
16,2012-10-01,540,"Monday","weekday"
18,2012-10-01,545,"Monday","weekday"
39,2012-10-01,550,"Monday","weekday"
44,2012-10-01,555,"Monday","weekday"
31,2012-10-01,600,"Monday","weekday"
49,2012-10-01,605,"Monday","weekday"
53,2012-10-01,610,"Monday","weekday"
63,2012-10-01,615,"Monday","weekday"
49,2012-10-01,620,"Monday","weekday"
47,2012-10-01,625,"Monday","weekday"
52,2012-10-01,630,"Monday","weekday"
39,2012-10-01,635,"Monday","weekday"
44,2012-10-01,640,"Monday","weekday"
44,2012-10-01,645,"Monday","weekday"
37,2012-10-01,650,"Monday","weekday"
49,2012-10-01,655,"Monday","weekday"
43,2012-10-01,700,"Monday","weekday"
44,2012-10-01,705,"Monday","weekday"
50,2012-10-01,710,"Monday","weekday"
54,2012-10-01,715,"Monday","weekday"
49,2012-10-01,720,"Monday","weekday"
50,2012-10-01,725,"Monday","weekday"
55,2012-10-01,730,"Monday","weekday"
44,2012-10-01,735,"Monday","weekday"
52,2012-10-01,740,"Monday","weekday"
69,2012-10-01,745,"Monday","weekday"
57,2012-10-01,750,"Monday","weekday"
56,2012-10-01,755,"Monday","weekday"
73,2012-10-01,800,"Monday","weekday"
68,2012-10-01,805,"Monday","weekday"
129,2012-10-01,810,"Monday","weekday"
157,2012-10-01,815,"Monday","weekday"
171,2012-10-01,820,"Monday","weekday"
155,2012-10-01,825,"Monday","weekday"
177,2012-10-01,830,"Monday","weekday"
206,2012-10-01,835,"Monday","weekday"
195,2012-10-01,840,"Monday","weekday"
179,2012-10-01,845,"Monday","weekday"
183,2012-10-01,850,"Monday","weekday"
167,2012-10-01,855,"Monday","weekday"
143,2012-10-01,900,"Monday","weekday"
124,2012-10-01,905,"Monday","weekday"
109,2012-10-01,910,"Monday","weekday"
108,2012-10-01,915,"Monday","weekday"
103,2012-10-01,920,"Monday","weekday"
95,2012-10-01,925,"Monday","weekday"
66,2012-10-01,930,"Monday","weekday"
45,2012-10-01,935,"Monday","weekday"
24,2012-10-01,940,"Monday","weekday"
38,2012-10-01,945,"Monday","weekday"
34,2012-10-01,950,"Monday","weekday"
21,2012-10-01,955,"Monday","weekday"
40,2012-10-01,1000,"Monday","weekday"
26,2012-10-01,1005,"Monday","weekday"
42,2012-10-01,1010,"Monday","weekday"
52,2012-10-01,1015,"Monday","weekday"
